to write something down,apuntar alguna cosa
saucer,platet de la tassa (de te)
cattle,bestiar
deer,cérvol
mammal,mamífer
bug,"cuca, bestiola, insecte"
moth,arna (cast.: polilla)
gloomy,"tenebrós, llòbrec"
shadow,ombra
nowadays,avui en dia
cube,cub
arch,"arc, volta"
pattern,"patró, dibuix repetit"
to add,"sumar, afegir"
to multiply,multiplicar
to develop,desenvolupar
a bumpy road,una carretera plena de sots
to pick,"triar, escollir"
art exhibition,exposició d'art
scenery,paisatge
to cure,curar
injection,injecció
syringe,xeringa
aspirin,aspirina
pill,píndola
tap,aixeta
scales,balança
mat,estora
plug,tap
to take after somebody,assemblar-se a algú de la família
to get on well with somebody,portar-se bé amb algú
front page,portada (d'un diari)
especially,sobretot
to make an appointment,concertar una cita
physics,física
remind me to send you the letter,recorda'm que t'enviï la carta
to be crowned,ser coronat
discount,descompte
discrimination,discriminació
balcony,balcó
bat,rat-penat
bribery,suborn
a profit,un benefici
to set up a company,crear una empresa
a deal,un tracte
drug dealer,"camell, traficant de drogues"
to hijack,segrestar (un avió)
to be arrested,ser arrestat
roof,teulada
bee,abella
department store,centre comercial
can I try it on?,m'ho puc emprovar?
ash,cendra
wheat,blat
cattle,bestiar
semi-dettached house,casa adossada
cottage,casa de camp
tenant,llogater
landlord,propietari
windowsill,ampit de la finestra
drain,claveguera
ajar,"entreobert, ajustat"
wide open,obert de bat a bat
yawn,badall
duvet,edredó nòrdic
bookcase,llibreria (moble)
dog-tired,"rebentat, molt cansat"
nail clippers,tallaungles
nail varnish,esmalt per a ungles
muddy,enfangat
tracksuit,xandall
trunks,banyador d'home
wig,perruca
necklace,collaret
honeymoon,lluna de mel
spinster,dona soltera (pejoratiu)
blind,cec
deaf,sord
pickpocket,carterista
naughty,"trapella, entremaliat"
heartless,despietat
to deserve,meréixer
worthy,que val la pena
greengrocer,botiga de queviures o verdures
hardware store,ferreteria
safety pin,agulla imperdible
split,esquerda
wax,cera
to wax ,depilar amb cera
log,"tronc, tros d'un arbre"
foreign,estranger (adjectiu)
crate,caixa de fusta
trunk,bagul
trigger,gatell (d'una pistola)
to pull the trigger,prémer el gatell
query,"qüestionar, dubtar"
oath,jurament
guarantee,garantia
chatty,xerraire
jargon,argot
