"botiga, botiga","shop, store"
cuina,kitchen
un menjador,a dining room
galta,cheek
colze,elbow
dent,tooth
pestanya,eyelash
només,alone
buscar,look
per atreure,to attract
per tornar la trucada,to call back
nomenament,appointment
per celebrar,to hold
canal,canal
arbre,tree
branca,branch
granja,farm
pesca,fishing
animal,animal
gat,cat
onada,wave
ovella,sheep
vaca,cow
seguir,to follow
molt de temps,a long time
hora,early
instantani,instant
llavors,then
sovint,often
per durar,to last
a reserva de,to reserve
formatge,cheese
fruita,fruit
està nevant,it's snowing
es congela,it freezes
un treballador,a worker
un mecànic,a mechanic
un metge,a doctor
infermera,nurse
un fotògraf,a photographer
una cambrera,a waitress
una dama,a maid
un carnisser,a butcher
flauta,flute
gravadora,recorder
arpa,harp
viola,viola
clarinet,clarinet
acordió,accordion
fagot,bassoon
oboè,oboe
trombó,trombone
tuba,tuba
això és genial!,that's great!
això és terrible!,that's terrible!
"més o menys, gairebé","more or less, just about"
"Jo penso, jo sento","I think, I feel"
bona idea,good idea
¿No ho és?,Isn't it?
ahi aquesta,there is
bo,okay
anirem (plural),let's go (plural)
oh diables!,oh heck!
octubre,october
novembre,november
desembre,december
ordinador,computer
ratolí,Mouse
teclat,keyboard
pantalla,screen
altaveus,loudspeaker
impressora,printer
Unitat flash USB,USB flash drive
situar,to situate
vora,edge
central,central
dalt,above
distància,distance
darrere,rear
per envoltar,to surround
enfocament,approach
bretxa,gap
a la part superior,on top
amic,boyfriend
per compartir,to share
em,me
afecte,darling
a saber,to know
"vincle, connexió, enllaç, llaç","bond, connection, link, tie"
per sortir (sortir),to leave (depart)
absència,absence
separació,separation
perdre,to miss
buscar,to look for
arribar,to arrive
per passar,to pass
viatjar,to travel
"tub (metro), metro","tube (subway), underground"
volar,to fly
nadó,baby
llarg,long
curt,short
"calenta (atractiu, sexy)","hot (attractive, sexy)"
orquestra,orchestra
bateria,drum set
afinat,in tune
so,sound
gira,tour
violí,violin
violoncel,cello
guitarra,guitar
tambor,drum
trompeta,trumpet
per creuar,to cross
no gràcies,no thank you
senyoreta,miss
Estats Units,United States
Parla tu anglès?,Do you speak English?
petanca,boules
demostració,demonstration
qualsevol,whatever
de fer,to do
satisfet (conèixer),pleased (to meet you)
àvia,grandmother
generació,generation
germanastre,half-brother
padrastre,step-father
madrastra,step-mother
cirurgia plàstica,plastic surgery
cridar,to shout at
naixement,birth
envellir,to grow old
per heretar,to inherit
dolent,bad
"gran, gran, alt","big, large, tall"
"petits, a curt","small, short"
aquí,here
per aquí,over there
aquest,this
que,that
"ajuda, ajuda, ajuda","help, assistance, aid"
Una mica,a little bit
on,where
"Sí, vaig al restaurant","Yes, I am going to the restaurant"
menjar aquesta,eat this
beure aquesta,drink this
esperar aquí,wait here
Vas a arribar avui?,Are you going to arrive today?
Vaig a parlar català,I will speak Catalan
Aviat,Soon
Vaig a parlar amb tu més tard,I will speak to you later
Ens veiem més tard,I will see you later
El veuré a l'aeroport,I will see him at the airport
senyora,madam
dona,woman
per fer negocis,to do business
empresa,company
cap,boss
empleat,employee
per treballar,to work
per què?,why?
el meu,my
seva,your
"Vaig a (lloc, esdeveniment)","I am going to (place, event)"
tot dret,straight ahead
girar a l'esquerra,turn left
girar a la dreta,turn right
parar aquí,stop here
Com estàs?,How are you?
impressionant,awesome
fresc,cool
Yuck,yuck
és una merda,It sucks
Em vaig divertir molt amb tu,I had fun with you
ahir a la tarda,Yesterday evening
Em vaig divertir molt ahir a la nit,I had fun last night
Li vaig dir que anava a arribar avui,I said that I would arrive today
dilluns,monday
dimarts,tuesday
dimecres,wednesday
dijous,thursday
divendres,friday
dissabte,saturday
per què,why
felicitacions,congratulations
convidar,to invite
felicitar,to congratulate
cavallers,gentlemen
informació,information
per delit,to delight
"la gràcia, l'encant, l'elegància, gràcies","grace, charm, elegance, thanks"
ella,she
per saludar,to greet
dofí,dolphin
pop,octopus
medusa,jellyfish
sardina,sardine
llop,wolf
granota,frog
bug,bug
mosquit,mosquito
aranya,spider
formiga,ant
impossible,impossible
problema,problem
mai,never
sempre,always
mal,badly
"veritablement, realment","truly, really"
"també, massa","also, too"
de nou,again
menys,less
"cap, cap, cap","none, no, any"
decebre,to disappoint
per celebrar,to celebrate
matrimoni,marriage
"compromís, compromís","engagement, betrothal"
divorci,divorce
cònjuge,spouse
vida,living
per créixer,to grow
a adorar,to adore
adopció,adoption
On treballes?,Where do you work?
Estic treballant per a una empresa de català,I am working for a Catalan company
Què fas exactament?,What do you do exactly?
Sóc enginyer,I am engineer
Estic buscant una feina,I am looking for a job
Viu aquí amb la seva família?,Do you live here with your family?
"Sí, visc amb la meva dona","Yes, I live with my wife"
"No, jo visc sol aquí.","No, I live alone here."
Però el meu germà viu aquí,But my brother lives here
"I tu, on vius?","And you, where do you live?"
a cost,to cost
car,expensive
compro,I buy
barat,cheap
Miro,I look at
un mercat,a market
una botiga,a shop
carrer,street
caminar,to walk
la parada d'autobús,the bus stop
M'agradaria menjar,I would like to eat
per beure,to drink
una ampolla,a bottle
una beguda,a drink
vi negre,red wine
vi blanc,white wine
vi escumós,Sparkling wine
una beguda abans del menjar,a drink before meal
(Beguda) per a la bona salut,(drink) to good health
M'agrada aquest vi molt,I like this wine very much
la neboda,the niece
el nen,the boy
la noia,the girl
l'autobús,the bus
el metro,the metro
el cotxe,the car
la moto,the bike
la ploma,the pen
estricte,strict
tímid,shy
ambulància,ambulance
submarí,submarine
primavera,spring
estiu,summer
caure,fall
hivern,winter
nas,nose
un ull,an eye
ulls,eyes
barbeta,chin
districte,district
ciutat,city
capital,capital
poble,village
parc,park
viatge,trip
camp,countryside
muntanya,mountain
mar,sea
platja,beach
un segon,one second
un dia,one day
dos dies,two days
almenys,at least
he,i must
He de beure vi,I must drink wine
He de tenir una idea,I must have an idea
He d'anar al museu,I must go to the museum
avorrit,boring
Crec que és avorrit,I think it is boring
bé,well
Això no és bo,This is not good
Ho tens?,Do you have it?
vi,wine
El meu nom és,My name is
Tu entens? (Familiar),You understand? (familiar)
No entenc,I don't understand
Qui és tu? (Informal),Who are you? (informal)
és tu?,are you?
Jo no sóc,I am not
moment,moment
segle,century
fase,phase
era,era
diari,daily
freqüent,frequent
permanència,permanence
"temps fins que (alguna cosa), l'extensió (de temps), límit de temps","time until (something), extension (of time), time limit"
període,period
temps,time
¿Hi va haver algun problema?,Was there a problem?
Hi va haver un problema,There was a problem
¿Hi va haver algun vi?,Was there any wine?
algú,someone
Hi havia algú allà,There was someone there
vaig,I went
Em vaig anar a Anglaterra,I went to England
Se'n va anar a Barcelona la setmana passada,He went to Barcelona last week
Tenia fred,I was cold
No hi havia cap vi,There wasn’t any wine
botiga de queviures,grocery store
pastisseria,pastry shop
lloc de diaris,newsstand
enlloc,nowhere
nudista,nudist
llibreria,bookstore
centre,centre
presó,prison
afores,suburbs
exili,exile
desastre,disaster
agrícola,agricultural
profunditat,depth
descobriment,discovery
fenomen,phenomenon
immens,immense
massiu,massive
gos,dog
bosc,forest
sol,sun
l'estació,the station
la música,the music
l'església,The church
l'escola,the school
l'embolcall,the envelope
l'obertura,the opening
la història,the history
l'hora,the hour
prop de,next to
amb,with
la família,the family
el pare,the father
la mare,the mother
la germana,the sister
la tia,the aunt
perfecte,perfect
els avis,the grandparents
l'avi,the grandfather
l'àvia,the grandmother
el nebot,the nephew
per reemplaçar,to replace
a respectar,to respect
respecte,respect
hora,hour
olor,smell
construcció,construction
idiota,idiot
vigília,eve
tard a la nit el soroll de pertorbació,late-night noise disturbance
gilipolles,asshole
petit,small
És petita,It is small
sembla,It seems
Sembla més petit,It seems smaller
Sembla més gran,It seems bigger
VERITABLE,TRUE
fàcil,easy
difícil,difficult
urgent,urgent
important,important
recentment,recently
constant,constant
regular,regular
immediat,immediate
permanent,permanent
precedir,to precede
durada,duration
anual,annual
per prolongar,to prolong
sessió,session
Vaig anar a Japó el mes passat,I went to Japan last month
T'agrada el futbol?,Do you like football?
"Sí, m'agrada el futbol","Yes, I like football"
"Sí, practico tennis durant quatre anys.","Yes, I practise tennis for four years."
Practica un esport?,Do you practise a sport?
"No, jo no practico cap esport.","No, I do not practise any sport."
T'agrada anar al cinema?,Do you like going to the cinema?
Sí m'agraden les pel · lícules d'acció,Yes I like action movies
Què t'agrada fer en el teu temps lliure?,What do you like to do during your spare time?
"No, és massa car a Barcelona","No, it is too expensive in Barcelona"
saber (algú),to know (someone)
honest,honest
no és honest,not honest
per convertir-,to become
les ulleres,the glasses
les ulleres de sol,the sunglasses
el somni,the dream
per satisfer,to meet
per acomiadar,to dismiss
us convidem (no je vous en PRIE),you're welcome (not je vous en prie)
el piano,the piano
el concert,the concert
el violí,the violin
la guitarra,the guitar
per fer,to ask
ballar,to dance
a nedar,to swim
per guanyar,to win
oblidar,to forget
pensar,to think
el braç,the arm
la columna vertebral,the spine
la mà,the hand
el ventre,the belly
els dits,the fingers
la cama,the leg
el peu,the foot
la sang,the blood
l'os,the bone
una mica,a bit
pla,plane
autobús,bus
vaixell,boat
camió,truck
furgoneta,van
tren,train
motocicleta,motorcycle
helicòpter,helicopter
metre,subway
globus d'aire calent,hot air balloon
pare,dad
avi,grandfather
veí,neighbour
"bastant, bastant, bastant","enough, quite, rather"
a cessar,to cease
forta,strong
nit,night
dia,day
tarda,evening
llei,law
a sotmetre,to undergo
medicació,medication
per restaurar,to restore
patiment,suffering
malaltia,illness
tractament,Treatment
per visitar,to visit
saludable,healthy
embarassada,pregnant
clínica,clinic
clotet,dimple
clau,nail
llengua,tongue
genoll,knee
expressió,expression
familiar,familial
pare,parent
"mare, mare","mom, mum"
marit,husband
amant,mistress
M'agradaria,I would like
hola,hello
Bon dia,Good Morning
comiat,goodbye
Sí,Yes
no,no
si us plau,please
gràcies,thank you
estic,I am
entenc,I understand
ruc,donkey
gall jove,cockerel
oca,goose
Paloma,pigeon
pingüí,penguin
corb,crow
ala,wing
pic,beak
cigne,swan
àguila,eagle
A quina hora?,at what time?
arribem,we arrive
deixem,we leave
en dos,at 2 o'clock
demà,tomorrow
ara,now
més tard,later
avui,today
despres,after
a sentir,to feel
sentiment,feeling
a adonar-se,to realise
declaració,declaration
amor,love
enamorat,in love
cor,heart
per vèncer,to beat
així,so
tant,so much
molts,many
Hi ha molts taxis,There are many taxis
Hi ha molts problemes,There are many problems
No hi ha taxis,There are no taxis
No hi ha problemes,There are no problems
desafortunadament,unfortunately
certament,certainly
especialment,especially
per exemple,for example
fa mal,it hurts
Poma,Apple
taronja,orange
ou,egg
llesca,slice
per quedar,to stay
pastís,cake
còctel,cocktail
ampolla,bottle
per servir,to serve
tot,whole
Vostè ha de donar el cafè per a mi,You must give the coffee to me
No vull (això),I don't want (that)
lavabos,restroom
ni ho esmenti,don't mention it
Quant costa?,How much does it cost?
T'estimo,I love you
Hi!,Hi!
català,Catalan
anglès,English
On està ...?,where is...?
fam,hunger
set,thirst
menjar,food
gust,taste
rar (no Étrange),weird (not étrange)
la boca plena de líquid,mouthful of liquid
mos de sòlids,mouthful of solid
mastegar,to chew
factura,"bill, sum, addition"
M'agradaria reservar una habitació,I'd like to reserve a room
Per quantes nits,for how many nights
quantes persones,how many people
dues persones,two people
bany,bathroom
suc de fruites,fruit juice
(Alguns) de cervesa,(some) beer
anem a fer un glop!,let's have a drink!
a pagar,to pay
bona nit!,good night!
tu entens? Ho entens?,Do you understand? Do you get it?
Què és això,What is that
On és?,Where is?
aquí,over here
Em pots ajudar?,Can you help me?
Quin és el teu nom? (Informal),What is your name? (informal)
Saps ...?,Do you know...?
No ho sé,I don't know
en el mercat,at the market
"quant, quants","how much, how many"
molt bé,Very well
Vostè parla català molt bé,You speak Catalan very well
dir,to say
ets,you are
Està tu anglès?,Are you English?
Sóc Anglès,I am English
americà,American
No és americà,You are not American
Jo no sóc anglès,I am not English
feliç,happy
segon (unitat de temps),second (time unit)
segon,second
tercera,third
quart,fourth
sostre,ceiling
aterratge,landing
pis,floor
sòl,ground
paret,wall
cost,cost
de rebutjar,to refuse
sabata,shoe
pantalons,trousers
vestit,dress
barret,hat
cotó,cotton
equip,outfit
un mateix,oneself
per admirar,to admire
Hi ha te?,Is there tea?
Hi ha vi?,Is there wine?
una mica de cervesa,some beer
Hi ha cervesa?,Is there beer?
"Sí, hi ha cervesa","Yes, there is beer"
Té tu?,Do you have?
Tens algun te?,Do you have any tea?
Hi ha taxis?,Are there any taxis?
persones,people
Hi ha alguna persona?,Are there any people?
d'acord a,according to
serra,saw
destral,ax
trepant,drill
cargol,bolt
una femella,a nut
martell,hammer
una pala,a shovel
un tornavís,a screwdriver
un cargol,a screw
obvi,obvious
únic,unique
futur,future
parella,partner
per vincular,to link
"a contreure matrimoni, a abraçar, abraçar","to marry, to espouse, to embrace"
per casar-se,to get married
forta,loud
cada,each
"temps, la fe, la confiança","time, faith, trust"
al canvi,to change
escoltar,to hear
per evitar,to prevent
normal,normal
actitud,attitude
negociació,negotiation
per imposar,to impose
prohibir,to forbid
polièster,polyester
viscosa,viscose
caixmir,cashmere
per burlar-se de,to make fun of
bufanda de tela,cloth scarf
bufanda,scarf
(Parell d') calces,(pair of) knickers
venda (preu reduït),sale (reduced price)
bota,boot
pantalons curts,shorts
M'agrada llegir llibres i jugar a Internet,I like to read books and play on the internet
Gran. Té una adreça de correu electrònic per mantenir-se en contacte?,Great. Do you have an email adress to stay in touch?
"Sí, és clar. Aquí el tens.",Yes of course. Here it is.
Gràcies. Et trucaré més tard.,Thank you. I will call you later.
"No, però tinc un compte de Skype si vols","No, but I have a Skype account if you want"
Ets benvingut. Ens veiem més tard.,You are welcome. See you later.
De res,you're welcome
quant costa,how much
viu,I live
"repetir, si us plau","repeat, please"
per seduir,to seduce
desitjar,to desire
llit,bed
tocar,to touch
cos,body
sexe,sex
plaer,pleasure
per complaure,to please
dia següent,next day
relació,relationship
Vés a la merda,go fuck yourself
servei,service
"safata, l'escenari, el televisor","tray, stage, TV set"
per trencar,to break
un altre,other
prendre,to take
per donar,to give
sucre,sugar
sal,salt
per triar,to choose
amanida,salad
quart de litre,half-pint
copa abans del sopar,pre-meal drink
amaniments per a amanides,salad dressing
regirat,scrambled
escalfat,poached
pastís,tart
intoxicació alimentària,food poisoning
all,garlic
compte!,careful!
condició,condition
per donar a llum,to give birth
ambulància,ambulance
sirena,siren
ronyó,kidney
anestèsia,anesthesia
hores de visita,visiting hours
a desaparèixer,to pass away
a fumar,to smoke
cigarret,cigarette
per declarar,to declare
de,of
a comptar,to count
"tornar a posar, posar, posar","to put back, to lay, to put"
per comprovar,to check
disponible,available
per eliminar,to remove
"declaració, una llista resumida","statement, list, summary"
crèdit,credit
regla,rule
infern,hell
comissaria de policia,police station
allau,avalanche
selva,jungle
província,province
desert,desert
estacionament,parking lot
casa de massacre,slaughter house
autopista,motorway
dentista,dentist
un cuiner,a cook
perruquer,hairdresser
guarniment,dressing
un pintor,a painter
un assistent,an attendant
un cantant,a singer
un professor,a teacher
un marine,a marine
una ballarina,a dancer
un conductor,a conductor
Per què aprendre anglès?,Why do you learn English ?
Perquè vull anar a França.,Because I want to go to France.
Com s'aprèn anglès?,How do you learn English ?
Utilitzo Memrise,I use Memrise
Això és genial. Com funciona?,That is great. How does it work?
És per l'aprenentatge de les coses amb la repetició.,It is for learning things with repetition.
Vostè viatja amb freqüència?,Do you often travel?
"si, m'agrada viatjar","yes, I like to travel"
L'any que ve me'n vaig al Brasil,Next year I go to Brazil
"No, no tinc els diners suficients","No, I do not have enough money"
pell,skin
gos,dog
un mico,a monkey
una balena,a whale
un mussol,an owl
cavall,horse
un gat,a cat
vaca,cow
un ós,a bear
un tauró,a shark
seva,their
nostre,our
seva (plural o formal),your (plural or formal)
jo,I
tu,you (singular informal)
vostè,you (singular formal)
vosaltres,you (plural informal)
vostès,you (plural informal)
ell,he
la carabassa,the pumpkin
el dibuix,the drawing
l'oncle,the uncle
l'àngel,the angel
els diners,the money
l'espai,the space
l'hospital,the hospital
l'home,the man
la tortuga; la tortuga,the tortoise; the turtle
la tecla,the key
mòbil,mobile
contrasenya,password
adreça de correu electrònic,e-mail address
xarxa social,social network
carpeta,folder
expedient,file
finestra,window
programari,software
bicicleta,bike
cotxe,car
amfitrió,host
aplaudiments,cheers
per desitjar,to wish
feliç aniversari,happy birthday
Sí (en resposta a una negativa),yes (in response to a negative)
alçada,height
aspecte,aspect
volum,volume
per inclinar,to tilt
per ampliar,to widen
bany,bath
rata,rat
inundació,flood
diari,newspaper
gabinet,cabinet
per tancar,to close
per obrir,to open
obert,open
per mantenir,to keep
de posseir,to own
per xerrar,to chat up
gaudeix del menjar,enjoys food
ratlla,stripe
groller,rude
el gaudi de la vida,enjoyment for life
deixar que les coses siguin,letting things be
qualitat intangible,intangible quality
elegant,chic
encenedor,lighter
tot,all
11,eleven
12,twelve
tretze,thirteen
catorze,fourteen
quinze,fifteen
setze,sixteen
disset,seventeen
divuit,eighteen
dinou,nineteen
vint,twenty
arròs,rice
vidre,glass
Tinc fam,I'm hungry
Tinc set,I'm thirsty
és repugnant,it's disgusting
cambrer,waiter
al gust,to taste
motor d'arrencada,starter
quin és el plat del dia?,what is the dish of the day?
Sóc vegetarià,I am vegetarian
"essencial, indispensable, necessària","essential, indispensable, required"
per tornar,to return
diners,money
canvi (diners),change (money)
top,top
fons,bottom
camisa,shirt
al desgast,to wear
preu,price
moda,fashion
"tipus, classe, espècie","type, kind, sort"
passatge,passage
per cobrir,to cover
regal,gift
per compondre,to compose
agent,agent
instrument,instrument
ritme,rhythm
per gravar,to record
obertura,opening
Què hi ha de nou? / Què passa? / Com va?,What's new? / What's up? / How's it going?
Que tinguis un bon dia,Have a nice day
Fins aviat,see you soon
tu tu més tard,see you later
Fins demà,See you tomorrow
Fins a la propera vegada,Until next time
comiat,farewell
bona sort,good luck
el gos,the dog
el vianant,the pedestrian
per veure,to see
edifici,building
cantonada,corner
per convertir,to turn
per anar a,to go to
carn de res,beef
peix,fish
porc,pork
be,lamb
ells (femella) cantar,they (female) sing
el gelat,the ice cream
junts,together
perdre,to lose
la pàgina,the page
el peix,the fish
la beguda,the drink
venir,to come
el pebrot,the pepper
el menjar,the meal
Quan vas a anar-hi?,When will you go there?
Quan va a anar-hi?,When will she go there?
Vaig a anar demà,I will go tomorrow
tarda,afternoon
la setmana que,next week
Vaig a anar a Lió la setmana,I will go to Lyon next week
l'estació de tren,the train station
Jo vaig,I am going
Vaig a Londres,I am going to London
Vostè va a un restaurant?,Are you going to the restaurant?
T'agrada aquest país?,Do you like this country?
"Sí, no està malament. Tinc un munt d'amics aquí.",Yes it is ok. I have a lot of friends here.
Ha estat als EUA?,Have you been to the USA?
No encara no. però potser l'any que ve.,No not yet. but maybe next year.
Sí que hi vaig anar l'any passat,Yes I went there last year
Tens germans i germanes?,Do you have brothers and sisters?
"Sí, tinc un germà i dues germanes.","Yes, I have one brother and two sisters."
Quants anys tenen?,How old are they?
El meu germà és de divuit anys i les meves germanes de vint i vint-anys.,My brother is eighteen year old and my sisters twenty and twenty three year old.
Jo no tinc cap germà i germana,I do not have any brother and sister
rares (carn),rare (meat)
per dinar,to lunch
mitjà (carn),medium (meat)
estrany,weird
aquí és,here is
per esmorzar,to have breakfast
paladar netejador,palate cleanser
la,the
ells,them
grup,group
una guineu,a fox
un porc,a pig
gallina,hen
una tortuga,a turtle
un ratpenat,a bat
ocell,bird
un ànec,a duck
fa calor,it's hot
fa fred,it's cold
És genial,It's cool
nosaltres,we
ells (masculí),they (masculine)
elles (femení),they (feminine)
Molt,a lot of
"poc, pocs","little, few"
de vegades,sometimes
encara,although
al supermercat,at the supermarket
massa car!,too expensive!
no és car,it isn't expensive
setè,seventh
vuitè,eighth
novè,ninth
jo cant,I sing
tu,you sing
canta,he sings
ella canta,she sings
cantem,We sing
tu (plural),you sing (plural)
ells (els homes) cantar,they (male) sing
cervell,brain
pulmó,lung
òrgan,organ
operacional,operational
per explicar,to explain
vital,vital
per operar,to operate
operació,operation
greu,serious
"(Cara, aire) tomba, solemne","(face, air) grave, solemn"
mugit,moo
ratolí,mouse
hàmster,Hamster
penso,feed
conillet d'Índies,guinea pig
gàbia,cage
aquari,aquarium
poni,Pony
pell,fur
corretja,leash
címbal,cymbal
timbal,kettledrum
música tecno,techno music
percussió,percussion
música de jazz,jazz music
música tràngol,trance music
virtuós,virtuoso
"fan, partidari","fan, supporter"
come-back,come-back
òpera,opera
la tardor,the autumn
l'hivern,the winter
la llet,the milk
per obtenir,to obtain
la farina,the flour
el cap,the head
l'ull,the eye
l'oïda,the ear
el nas,the nose
la boca,the mouth
l'interior (no à l'intérieur),inside (not à l'intérieur)
algú (llar / oficina / botiga / etc.),at someone's (home/office/store/etc.)
per encendre,to turn on
pujar,to go up
baixar,to go down
últim,last
llum,light
imatge,picture
propietari,landlord
armari,wardrobe
borratxo,drunk
desaprofitat,wasted
drogat,stoned
solista,soloist
cor,choir
conductor,conductor
contrabaix,double bass
camí,path
zona,zone
recurs,resource
estàs feliç?,are you happy?
cansat,tired
ell és,he is
però,but
"Estic content, però ell és cansat",I am happy but he is tired
"Sóc anglès, però ell és català",I am English but he is Catalan
Em dic Michael,I am called Michael
meravellós,wonderful
és,this is
ridícul,ridiculous
sud,south
aquest,east
oest,west
quaranta-cinc,forty five
el viatge,The journey
Quant de temps trigarà?,How long will it take?
una hora,one hour
Quina hora és?,What time is it?
És 11:00,It is 11 o’clock
És 00:00,It is 12 o’clock
Serà divertit,It will be fun
Serà difícil,It will be difficult
increïble,incredible
Serà increïble,It will be incredible
a poc a poc,slowly
més,more
"Pot parlar més a poc a poc, si us plau?",can you speak more slowly please?
repeteixes,you repeat
"Pot repetir això, si us plau?",Can you repeat that please?
havia,there was
tot el temps,all the time
"idiota, estúpid","idiotic, stupid"
per dur a,to carry
per tallar,to cut
"que, això,","that, this, it"
club infantil (per sortir a),club (for going out to)
"per recordar, per mantenir","to remember, to keep"
Vols?,do you want?
vull,I want
T'agrada?,Do you like?
No m'agrada,I don't like
quin país ets?,what country are you from?
Sóc un americà,I am an American
Sóc català,I am Catalan
Jo no sóc americà,I am not American
Saps ...?,do you know...?
ho sé,i know
això és ridícul,this is ridiculous
Ets meravellós!,You are wonderful!
calenta,hot
Estic calenta,I am hot
fred,cold
Tinc fred,I am cold
Està calenta?,Are you hot?
Tens fred?,Are you cold?
No estic calenta,I am not hot
hi és?,is there?
el cafè està calenta,the coffee is hot
És el cafè de John,It is John's coffee
Dono John cafè,I give John some coffee
li donem el cafè,we give him coffee
la cervesa és fred,the beer is cold
és la cervesa de Jane,it is Jane's beer
Dono Jane una cervesa,I give Jane a beer
li donem una cervesa,we give him a beer
el vi és deliciós,the wine is delicious
és el vi de John,it is John's wine
cosa,thing
així així,so-so
no està malament,not bad
escola,school
país,country
carretera,road
cadira,chair
taula,table
telèfon,phone
groc,yellow
què,what
tu pot?,can you?
puc?,can I?
que,who
quan,when
com,how
Té tu,do you have
Jo no tinc,I don't have
Està bé?,is it ok?
clau,nail
raspall,brush
un corró,a roller
massa,mass
una cinta mètrica,a tape measure
paleta,trowel
Estic bé gràcies. I vostè?,I am fine thank you. And you?
D'on ets?,Where are you from?
Jo sóc català. I vostè?,I am Catalan. And you?
Vinc dels EUA,I come from USA
això és tot!,this is it!
Com va?,how's it going?
ben plantat,good looking
divertit,funny
molest,annoying
silenciar,shush
en altres paraules,in other words
crap!,crap!
"pel que, per tant","so, therefore"
perquè,because
màxim,maximum
mínim,minimum
demanar prestat,to borrow
pèrdua,loss
reemborsar,to reimburse
utilitzar,to use
valor,value
per passar,to spend
rebutjar,to reject
fons,funds
per millorar,to improve
a deteriorar,to deteriorate
a col · lapsar,to collapse
empitjorant,to worsen
per tractar,to treat
ràpidament,quickly
cirurgià,surgeon
infermera,nurse
tràgic,tragic
corredor,corridor
clàssic,classic
música rock,rock music
clar,clear
per cantar,to sing
micròfon,microphone
escàndol,scandal
per escoltar,to listen to
veu,voice
per acompanyar,to accompany
programa,program
m'agrada,I like
tinc,I have
necessito,I need
vaig,I go
ho sé,I know
que pugui,I can
te,tea
cafè,coffee
cervesa,beer
molt,very
no és,is not
pots ...?,can you...?
parla tu català?,do you speak Catalan?
"Si us plau, parli més a poc a poc",Please speak more slowly
Què és això en català?,What is that in Catalan?
anar!,go!
"individu, tipus","guy, dude"
És cert (correcta)?,Is that right (correct)?
Un moment!,Just a moment!
donar-se pressa!,hurry up!
jo crec que,I think
Crec que és un gran,I think it is big
Crec que és petit,I think it is small
És allà,It is over there
És aquí,It is here
Disculpi-em,Excuse-me
On és l'hospital?,Where is the hospital?
D'on ets?,Where are you from?
jo vinc,I come
Sóc d'Amèrica,I am from America
natural,natural
aire,air
medi ambient,environment
espècies,species
reserva,reserve
rar,rare
pista,track
per preservar,to preserve
per aïllar,to isolate
delicat,delicate
bo,good
estrany,strange
